"insect","sdm","tune.args","fold","AUC","CBI","IMAE","thr.mss","OR.mss","TSS.mss"
"Papilio rumiko","GAM",NA,3,NA,NA,NA,NA,NA,NA
"Papilio rumiko","GAM",NA,4,NA,NA,NA,NA,NA,NA
"Papilio rumiko","LASSO",NA,1,NA,NA,NA,NA,NA,NA
"Papilio rumiko","LASSO",NA,2,NA,NA,NA,NA,NA,NA
"Papilio rumiko","LASSO",NA,3,NA,NA,NA,NA,NA,NA
"Papilio rumiko","LASSO",NA,4,NA,NA,NA,NA,NA,NA
"Papilio rumiko","MAXENT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio rumiko","MAXENT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio rumiko","MAXENT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio rumiko","MAXENT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio rumiko","RF",NA,1,NA,NA,NA,NA,NA,NA
"Papilio rumiko","RF",NA,2,NA,NA,NA,NA,NA,NA
"Papilio rumiko","RF",NA,3,NA,NA,NA,NA,NA,NA
"Papilio rumiko","RF",NA,4,NA,NA,NA,NA,NA,NA
"Papilio rutulus","BRT","tree.3825_node.5_lr.0.01",1,0.678468639973798,0.817,0.621432069150453,0.76000379,0.467043314500942,0.29382625071645
"Papilio rutulus","BRT","tree.3825_node.5_lr.0.01",2,0.780012119811353,0.969,0.743141731839898,0.47911916,0.442035815268614,0.468841571944228
"Papilio rutulus","BRT","tree.3825_node.5_lr.0.01",3,0.818651501635445,0.952,0.665264406705976,0.56527925,0.272128060263653,0.515321332448897
"Papilio rutulus","BRT","tree.3825_node.5_lr.0.01",4,0.673681878388536,0.967,0.714604539001171,0.1855205,0.345900094250707,0.254221387830686
"Papilio rutulus","GAM",NA,1,0.709110169491525,0.729,0.623014523074238,0.64641262,0.208097928436911,0.346249897650045
"Papilio rutulus","GAM",NA,2,0.825209938036617,0.994,0.724756786670245,0.5763643,0.36569274269557,0.494534215510906
"Papilio rutulus","GAM",NA,3,0.801347812164048,0.995,0.660266392248297,0.57672873,0.28060263653484,0.458263760226294
"Papilio rutulus","GAM",NA,4,0.63567703170003,0.993,0.686623167029965,0.27914143,0.430725730442978,0.218191054331268
"Papilio rutulus","LASSO","lambda.1se",1,0.71563190862196,0.835,0.672833164799051,0.90593952,0.455743879472693,0.350777859657742
"Papilio rutulus","LASSO","lambda.1se",2,0.724525766077206,0.152,0.539342688233105,0.8559459,0.497643732327992,0.432054579324374
"Papilio rutulus","LASSO","lambda.1se",3,0.806776420625662,0.846,0.658820925841009,0.79657786,0.294726930320151,0.513977523121145
"Papilio rutulus","LASSO","lambda.1se",4,0.625258884116666,0.912,0.652097432202845,0.24933359,0.279924599434496,0.183732011215433
"Papilio rutulus","MAXENT","fc.L_rm.2",1,0.377937519440185,-0.587,0.563826356232008,0.62329662,0.057492931196984,0.00552531092573583
"Papilio rutulus","MAXENT","fc.L_rm.2",2,0.678340655736736,0.693,0.611337184901826,0.68565906,0.447690857681433,0.397528578055244
"Papilio rutulus","MAXENT","fc.L_rm.2",3,0.276953860640301,-0.14,0.710282183692906,0.63478731,0.0404896421845574,0.0516156209733374
"Papilio rutulus","MAXENT","fc.L_rm.2",4,0.645898417278357,0.832,0.608496898426745,0.25974021,0.167766258246937,0.205364221381738
"Papilio rutulus","RF","mtry = 3",1,0.656348767706542,0.734,0.614716819973719,0.756,0.516949152542373,0.235224760501105
"Papilio rutulus","RF","mtry = 3",2,0.750127106717209,0.865,0.629591998288404,0.541,0.467483506126296,0.46442903193072
"Papilio rutulus","RF","mtry = 3",3,0.822113955030993,0.998,0.651299512195122,0.633,0.258003766478343,0.505154128258499
"Papilio rutulus","RF","mtry = 3",4,0.61986022118288,0.949,0.657866,0.493,0.742695570216777,0.178746017149087
"Papilio troilus","BRT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio troilus","BRT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio troilus","BRT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio troilus","BRT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio troilus","GAM",NA,1,NA,NA,NA,NA,NA,NA
"Papilio troilus","GAM",NA,2,NA,NA,NA,NA,NA,NA
"Papilio troilus","GAM",NA,3,NA,NA,NA,NA,NA,NA
"Papilio troilus","GAM",NA,4,NA,NA,NA,NA,NA,NA
"Papilio troilus","LASSO",NA,1,NA,NA,NA,NA,NA,NA
"Papilio troilus","LASSO",NA,2,NA,NA,NA,NA,NA,NA
"Papilio troilus","LASSO",NA,3,NA,NA,NA,NA,NA,NA
"Papilio troilus","LASSO",NA,4,NA,NA,NA,NA,NA,NA
"Papilio troilus","MAXENT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio troilus","MAXENT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio troilus","MAXENT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio troilus","MAXENT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio troilus","RF",NA,1,NA,NA,NA,NA,NA,NA
"Papilio troilus","RF",NA,2,NA,NA,NA,NA,NA,NA
"Papilio troilus","RF",NA,3,NA,NA,NA,NA,NA,NA
"Papilio troilus","RF",NA,4,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","BRT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","BRT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","BRT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","BRT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","GAM",NA,1,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","GAM",NA,2,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","GAM",NA,3,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","GAM",NA,4,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","LASSO",NA,1,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","LASSO",NA,2,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","LASSO",NA,3,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","LASSO",NA,4,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","MAXENT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","MAXENT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","MAXENT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","MAXENT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","RF",NA,1,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","RF",NA,2,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","RF",NA,3,NA,NA,NA,NA,NA,NA
"Papilio zelicaon","RF",NA,4,NA,NA,NA,NA,NA,NA
