"species","clim_model","ncells","sdm0","sdm1","sdm2","sdm3","sdm4","sdm5"
"Populus grandidentata","current",156389,53.2,7.7,7.8,6.7,7,17.5
"Populus grandidentata","ensemble_ssp245_2041",282132,33.7,23.3,22,12,6.5,2.4
"Populus grandidentata","ensemble_ssp245_2071",512909,43.9,18.6,19.8,11.3,4.5,2
"Populus grandidentata","ensemble_ssp370_2041",282132,29.9,24.1,23.8,13,6.6,2.6
"Populus grandidentata","ensemble_ssp370_2071",512909,33.5,16.6,21.2,15.4,8.1,5.1
"Populus tremuloides","current",951131,70.5,4.3,3.7,4.5,4,13
"Populus tremuloides","ensemble_ssp245_2041",1203216,66.9,11.2,12.2,4.1,2.7,3
"Populus tremuloides","ensemble_ssp245_2071",1406075,67,9.9,12.7,4.3,2.9,3.1
"Populus tremuloides","ensemble_ssp370_2041",1203216,64.5,10.8,13.3,5.2,3,3.3
"Populus tremuloides","ensemble_ssp370_2071",1406075,58.7,10.9,17,4.7,4.1,4.6
"Prunus cerasus","current",691809,68.8,7.2,4.7,4.5,6.7,8
"Prunus cerasus","ensemble_ssp245_2041",870657,21.4,15.3,11.4,11.5,17,23.3
"Prunus cerasus","ensemble_ssp245_2071",1057802,20.5,16.5,11.3,10.7,17.9,23.1
"Prunus cerasus","ensemble_ssp370_2041",870657,17.9,15,11.7,11.5,18.7,25.1
"Prunus cerasus","ensemble_ssp370_2071",1057802,10.5,13.3,9.8,11.5,23.9,31
"Prunus pensylvanica","current",601596,75.9,4.5,3.1,2.7,2.8,11
"Prunus pensylvanica","ensemble_ssp245_2041",800929,75,10.7,7.7,4.7,1.7,0.3
"Prunus pensylvanica","ensemble_ssp245_2071",1077377,75.3,10.8,7.3,4.3,2,0.3
"Prunus pensylvanica","ensemble_ssp370_2041",800929,74.7,10.6,7.4,5.2,1.8,0.2
"Prunus pensylvanica","ensemble_ssp370_2071",1077377,72.4,11,8.4,5.3,2.5,0.5
"Prunus persica","current",575971,63,6.3,3.3,6,5.4,16.1
"Prunus persica","ensemble_ssp245_2041",681980,46.3,12.7,13,10.7,8.3,8.9
"Prunus persica","ensemble_ssp245_2071",882229,54,10,11.6,9.2,7.8,7.4
"Prunus persica","ensemble_ssp370_2041",681980,44.5,12.7,13.2,11.4,9.2,8.9
"Prunus persica","ensemble_ssp370_2071",882229,46.4,12.3,12.3,10.2,10.2,8.5
"Prunus virginiana","current",440495,54.5,10.3,7.5,7.5,6.5,13.6
"Prunus virginiana","ensemble_ssp245_2041",622850,54.2,23.6,9.5,5,2.6,5.1
"Prunus virginiana","ensemble_ssp245_2071",880568,56.7,23.3,9.5,4.5,2.3,3.7
"Prunus virginiana","ensemble_ssp370_2041",622850,53.2,24,10,5.2,2.6,5
"Prunus virginiana","ensemble_ssp370_2071",880568,52,25.6,11.1,5.4,2.5,3.3
"Sorbus americana","current",232877,64.4,6.7,5.4,5.9,5,12.5
